code,date,short_name,metadata
C-740/18 RX,20/12/2018,Réexamen FN a další v. CEPOL,"{'a': 1, 'b': 2}"
C-685/18,21/12/2018,Minister for Justice and Equality,"{'a': 1, 'b': 2}"
C-668/18,11/12/2018,Uniparts,"{'a': 1, 'b': 2}"
C-656/18,07/11/2018,F.,"{'a': 1, 'b': 2}"
C-630/18,15/11/2018,Deutsche Lufthansa,"{'a': 1, 'b': 2}"
C-621/18,19/10/2018,Wightman a další,"{'a': 1, 'b': 2}"
C-621/18,10/12/2018,Wightman a další,"{'a': 1, 'b': 2}"
C-619/18,15/11/2018,Komise v. Polsko (Nezávislost Nejvyššího soudu),"{'a': 1, 'b': 2}"
C-619/18,19/10/2018,Komise v. Polsko (Nezávislost Nejvyššího soudu),"{'a': 1, 'b': 2}"
C-619/18,17/12/2018,Komise v. Polsko (Nezávislost Nejvyššího soudu),"{'a': 1, 'b': 2}"
C-617/18,22/11/2018,Globalcaja,"{'a': 1, 'b': 2}"
C-602/18 P,18/10/2018,Star Television Productions v. EUIPO,"{'a': 1, 'b': 2}"
C-595/18 P,24/10/2018,The Goldman Sachs Group v. Komise,"{'a': 1, 'b': 2}"
C-585/18,26/11/2018,A.K. (Nezávislost kárného kolegia Nejvyššího soudu),"{'a': 1, 'b': 2}"
C-558/18,06/11/2018,Miasto Łowicz (Régime disciplinaire concernant les magistrats),"{'a': 1, 'b': 2}"
C-557/18,08/11/2018,Eurowings,"{'a': 1, 'b': 2}"
C-551/18 PPU,06/12/2018,IK (výkon doplňujícího trestu),"{'a': 1, 'b': 2}"
C-543/18 RX,17/09/2018,Réexamen HG v. Komise,"{'a': 1, 'b': 2}"
C-542/18 RX,17/09/2018,Réexamen Simpson v. Rada,"{'a': 1, 'b': 2}"
C-526/18,23/10/2018,AA,"{'a': 1, 'b': 2}"
C-522/18,26/09/2018,Zakład Ubezpieczeń Społecznych,"{'a': 1, 'b': 2}"
C-522/18,13/11/2018,Zakład Ubezpieczeń Społecznych,"{'a': 1, 'b': 2}"
C-516/18,22/08/2018,Sun Express Deutschland,"{'a': 1, 'b': 2}"
C-508/18,20/09/2018,OG (Parquet de Lübeck),"{'a': 1, 'b': 2}"
C-499/18 P,25/09/2018,Bayer CropScience a Bayer v. Komise,"{'a': 1, 'b': 2}"
C-491/18,13/12/2018,Mennica Wrocławska,"{'a': 1, 'b': 2}"
C-487/18,17/12/2018,Komise v. Rakousko,"{'a': 1, 'b': 2}"
C-466/18,07/11/2018,Porsche Inter Auto,"{'a': 1, 'b': 2}"
C-448/18,06/09/2018,Münchener Hypothekenbank,"{'a': 1, 'b': 2}"
C-422/18 PPU,27/09/2018,FR,"{'a': 1, 'b': 2}"
C-412/18 P,22/11/2018,King v. Komise,"{'a': 1, 'b': 2}"
C-411/18 P,03/10/2018,Romantik Hotels & Restaurants v. EUIPO,"{'a': 1, 'b': 2}"
C-409/18 P,13/12/2018,Senetic v. EUIPO,"{'a': 1, 'b': 2}"
C-408/18 P,13/12/2018,Senetic v. EUIPO,"{'a': 1, 'b': 2}"
C-407/18,05/10/2018,Addiko Bank,"{'a': 1, 'b': 2}"
C-402/18,18/09/2018,Tedeschi a Consorzio Stabile Istant Service,"{'a': 1, 'b': 2}"
C-393/18 PPU,17/10/2018,UD,"{'a': 1, 'b': 2}"
C-383/18,17/09/2018,Lexitor,"{'a': 1, 'b': 2}"
C-370/18,13/12/2018,Holunga,"{'a': 1, 'b': 2}"
C-353/18,17/10/2018,Beny Alex,"{'a': 1, 'b': 2}"
C-340/18,03/07/2018,EK a další,"{'a': 1, 'b': 2}"
